name,address,resolvedAddress,latitude,longitude,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,windspeedmax,windspeedmean,windspeedmin,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-12,3.7,-0.7,1.5,3.7,-0.7,1.3,-2.9,73.1,5.611,100,50,"rain,snow",0,0,14.8,7,7,3.8,0.9,15.4,1015.6,64.5,10,29.5,2.3,1,10,2023-03-12T07:29:50,2023-03-12T19:18:07,0.68,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-13,10.9,1.6,5.5,10.9,1.6,5.3,-0.9,66.9,0.166,100,12.5,"rain,snow",0,0,40.7,7.1,7.1,4.2,2,341.7,1011.5,91.4,10.5,115.5,10,7,10,2023-03-13T07:28:20,2023-03-13T19:19:05,0.72,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,rain
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-14,7,1,3.6,4.8,-2,1.5,-9.7,37.5,0,0,0,,0,0,50,13,13,8.9,3.9,300.7,1014.5,45.9,16,187.5,16.1,8,10,2023-03-14T07:26:49,2023-03-14T19:20:03,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-15,11.6,0.5,5.6,11.6,-2.2,4.3,-12.4,28.9,0,0,0,,0,0,55.1,11.9,11.9,8,4.4,315,1019.6,2.4,16,216,18.7,7,10,2023-03-15T07:25:18,2023-03-15T19:21:00,0.79,Clear,Clear conditions throughout the day.,clear-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-16,20.4,2.9,11.2,20.4,0.4,10.7,-11,21.6,0,0,0,,0,0,31.7,12,12,8.1,3.6,212.5,1018.6,0,16,208.3,18.1,7,10,2023-03-16T07:23:47,2023-03-16T19:21:57,0.82,Clear,Clear conditions throughout the day.,clear-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-17,17.7,10.3,14.1,17.7,10.3,14.1,1.9,45.3,0,0,0,,0,0,38.9,16.2,16.2,12.6,8.9,200.4,1006.6,44.1,16,73.1,6.3,3,10,2023-03-17T07:22:16,2023-03-17T19:22:54,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-18,15.3,4.8,9.3,15.3,4.4,8.8,-6.1,35.4,0.237,100,4.17,rain,0,0,35.3,12.6,12.6,7.5,4.4,285.8,1009.4,9.8,16,191.1,16.5,7,10,2023-03-18T07:20:44,2023-03-18T19:23:51,0.89,Rain,Clear conditions throughout the day with early morning rain.,rain
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-19,7,-0.8,3.2,5.8,-3.1,1.6,-13.6,28.7,0,0,0,,0,0,37.1,9.7,9.7,6.5,2.6,314.9,1020.3,0.1,16,222.5,19.1,7,10,2023-03-19T07:19:13,2023-03-19T19:24:48,0.93,Clear,Clear conditions throughout the day.,clear-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-20,12,-2.6,4.5,12,-2.6,4.3,-12.6,29.7,0,0,0,,0,0,14.8,7.8,7.8,4.3,1.7,273,1026.5,0,15.9,224.7,19.5,7,10,2023-03-20T07:17:41,2023-03-20T19:25:44,0.96,Clear,Clear conditions throughout the day.,clear-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-21,19.2,-2.4,8.9,19.2,-3.9,8.5,-10.1,30.1,0,0,0,,0,0,35.3,10.2,10.2,6.7,1.7,210.3,1028.1,0.1,15.9,222.3,19.2,7,10,2023-03-21T07:16:09,2023-03-21T19:26:41,0,Clear,Clear conditions throughout the day.,clear-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-22,18.2,9.7,13.5,18.2,8.6,13.5,-3.5,31.7,0,0,0,,0,0,35.4,12.5,12.5,9.8,5.4,191.3,1025.1,53.7,16,133.7,11.6,5,10,2023-03-22T07:14:37,2023-03-22T19:27:37,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-23,29.7,10.5,19.1,28.5,10.5,18.9,9,55.8,0,0,0,,0,0,44.7,19.1,19.1,13.5,6,212.5,1015.2,30.5,15.7,167.8,14.5,7,10,2023-03-23T07:13:05,2023-03-23T19:28:33,0.06,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-24,21.4,9.8,15.8,21.4,8.7,15.7,10.7,73.1,2.534,100,20.83,rain,0,0,39,16.5,16.5,9.7,4.2,70.4,1012.6,68.3,15.2,66,5.5,4,10,2023-03-24T07:11:33,2023-03-24T19:29:29,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-25,17.7,7.7,10.9,17.7,6.6,10.5,8.3,84,3.602,100,20.83,rain,0,0,44.6,15.4,15.4,8.1,3.8,28.1,1009.3,80.7,9.8,58.4,5.1,3,10,2023-03-25T07:10:01,2023-03-25T19:30:25,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-26,23.2,11.4,17.5,23.2,11.4,17.5,-0.3,31.7,0,0,0,,0,0,31.3,14.3,14.3,7.3,3.1,269.1,1013.2,0,16,229.3,19.8,7,10,2023-03-26T07:08:29,2023-03-26T19:31:21,0.16,Clear,Clear conditions throughout the day.,clear-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-27,22.1,9.6,15.1,22.1,8.9,15,4.6,50.4,0,0,0,,0,0,38.9,9.3,9.3,6.6,3.2,27.6,1012.7,41.9,16,128.1,11.2,7,10,2023-03-27T07:06:57,2023-03-27T19:32:17,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-28,16.6,8.1,12.6,16.6,6.9,12.4,2.7,52.7,1.414,100,8.33,rain,0,0,35.3,9.6,9.6,5.4,2.3,21.8,1017.6,42.4,16,96.4,8.3,3,10,2023-03-28T07:05:25,2023-03-28T19:33:13,0.25,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-29,16.1,3.5,10.1,16.1,3.5,10,-0.5,53.4,0.928,100,12.5,rain,0,0,29.5,10.9,10.9,6.3,2.6,268.6,1020.6,21.5,15.8,223.9,19.2,8,10,2023-03-29T07:03:53,2023-03-29T19:34:08,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-30,16.5,4.8,10.5,16.5,3,10,-2.3,42.5,0,0,0,,0,0,25.9,11.6,11.6,6.6,3.4,58.9,1024.5,0.8,16,231.5,19.9,8,10,2023-03-30T07:02:22,2023-03-30T19:35:04,0.29,Clear,Clear conditions throughout the day.,clear-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-31,18.1,4.2,10.3,18.1,3.1,9.9,3.4,63.2,6.88,100,20.83,rain,0,0,48.6,21.4,21.4,9.9,3.1,216.8,1021.6,49.6,15.7,63,5.4,3,10,2023-03-31T07:00:50,2023-03-31T19:36:00,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-01,26.5,12,18.8,26.5,12,18.8,9,59.6,3.419,100,33.33,rain,0,0,60.7,27.4,27.4,17.3,10.2,219,1003.6,64.1,15.3,152.7,13.2,8,10,2023-04-01T06:59:19,2023-04-01T19:36:55,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-02,16,9.1,11.8,16,8.2,11.5,-1.6,39.8,0,0,0,,0,0,48.8,9.9,9.9,6.9,3.3,319.2,1015,29.2,16,242,20.8,9,10,2023-04-02T06:57:48,2023-04-02T19:37:51,0.39,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-03,23.6,2.7,13,23.6,2.7,12.7,3.2,53.2,0,0,0,,0,0,46.4,17.1,17.1,7.7,2,211.8,1017.3,2.3,16,197.3,17,6,10,2023-04-03T06:56:18,2023-04-03T19:38:46,0.42,Clear,Clear conditions throughout the day.,clear-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-04,28.7,12.4,20.6,27.9,12.4,20.5,10,53,0,0,0,,0,0,22.3,12.4,12.4,8.7,4.2,198.2,1014.9,0,16,229.4,19.7,7,10,2023-04-04T06:54:48,2023-04-04T19:39:42,0.45,Clear,Clear conditions throughout the day.,clear-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-05,30.9,15.8,23.8,31.2,15.8,23.9,14.5,57.2,0,0,0,,0,0,47.5,16,16,9.2,3.7,189.2,1017.2,6.8,16,184,15.9,7,30,2023-04-05T06:53:18,2023-04-05T19:40:37,0.48,Clear,Clear conditions throughout the day.,clear-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-06,30.4,20.2,25.2,30.1,20.2,25.1,14.2,51.7,0.074,100,8.33,rain,0,0,27.7,11.5,11.5,4.9,0.9,261.6,1019.7,38.9,16,134.5,11.5,5,10,2023-04-06T06:51:48,2023-04-06T19:41:33,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-07,18.6,7.1,11.3,18.6,7.1,11.2,3.7,61.2,2.97,100,37.5,rain,0,0,31.7,8.3,8.3,4.9,2.3,6.1,1028.3,71.4,15.6,34.7,3.1,1,10,2023-04-07T06:50:19,2023-04-07T19:42:28,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-08,12,5.5,8.8,12,3.9,8.4,-2,50.7,0,0,0,,0,0,36.9,11.2,11.2,6.7,3.2,38,1030.4,0,16,122.8,10.7,5,10,2023-04-08T06:48:50,2023-04-08T19:43:23,0.59,Clear,Clear conditions throughout the day.,clear-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-09,17,-0.1,9.6,17,-0.1,9.6,-4.4,41.4,0,0,0,,0,0,20.5,11.7,11.7,6.4,3.7,43.1,1030.5,0,16,254.6,22,8,10,2023-04-09T06:47:22,2023-04-09T19:44:19,0.62,Clear,Clear conditions throughout the day.,clear-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-10,19.1,2,11.6,19.1,0.5,11.3,-3.2,39.4,0,0,0,,0,0,11.2,8.3,8.3,5.4,2.8,214.4,1030.5,0,16,257.1,22,8,10,2023-04-10T06:45:54,2023-04-10T19:45:15,0.66,Clear,Clear conditions throughout the day.,clear-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-11,26,3.6,16.1,26,1.6,15.7,-2.2,34.1,0,0,0,,0,0,37.1,9.8,9.8,7,4.1,260.7,1023.6,0,16,257.3,22.3,8,10,2023-04-11T06:44:27,2023-04-11T19:46:10,0.7,Clear,Clear conditions throughout the day.,clear-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-12,29.2,14,21.8,27.6,14,21.5,0.8,25.3,0,0,0,,0,0,27.7,13.1,13.1,6.9,2.4,226.7,1016.6,0,16,245.5,21.4,8,10,2023-04-12T06:43:00,2023-04-12T19:47:06,0.73,Clear,Clear conditions throughout the day.,clear-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-13,31.5,10.8,22,29.4,10.8,21.5,4.1,34.3,0,0,0,,0,0,31.7,10.6,10.6,6,2.3,208.3,1014.3,0,16,253.6,22.1,8,10,2023-04-13T06:41:34,2023-04-13T19:48:01,0.75,Clear,Clear conditions throughout the day.,clear-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-14,27.6,13.1,20.8,27.1,13.1,20.7,10.2,52.2,2.925,100,4.17,rain,0,0,29.5,16.5,16.5,9,5.4,195.3,1012.3,13.3,16,169.7,14.7,6,10,2023-04-14T06:40:09,2023-04-14T19:48:57,0.8,Rain,Clear conditions throughout the day with late afternoon rain.,rain
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-15,26.5,15.9,20.9,26.5,15.9,20.9,14.3,68.6,6.626,100,29.17,rain,0,0,27.7,8.7,8.7,4.9,3.1,269,1010.6,73,16,174.4,15.1,7,10,2023-04-15T06:38:44,2023-04-15T19:49:53,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-16,27.6,13.2,21.2,27.3,13.2,21.2,13.1,62.3,0,0,0,,0,0,46.7,14.4,14.4,6.2,1.7,213.1,1008.2,22.1,16,149,12.9,5,10,2023-04-16T06:37:20,2023-04-16T19:50:48,0.87,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-17,19.2,10.5,15.5,19.2,10.5,15.5,2.6,43.9,0.932,100,12.5,rain,0,0,38.9,17.7,17.7,9.4,3.1,262,1005.7,57.3,15.8,214.4,18.6,8,10,2023-04-17T06:35:56,2023-04-17T19:51:44,0.91,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-18,24.8,8.2,17.1,24.8,5.9,16.9,-5.4,24.5,0,0,0,,0,0,49,17.7,17.7,11.6,3.9,243.5,1009.2,0.3,16,271.3,23.5,8,10,2023-04-18T06:34:34,2023-04-18T19:52:40,0.95,Clear,Clear conditions throughout the day.,clear-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-19,27,7,17.2,26.6,6.1,17,3,40.5,0,0,0,,0,0,18.4,10.4,10.4,6,3.1,22.1,1017.6,3.4,16,261.5,22.5,8,10,2023-04-19T06:33:12,2023-04-19T19:53:36,0.98,Clear,Clear conditions throughout the day.,clear-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-20,32.6,10.9,22.1,30.5,10.9,21.5,7.8,46,0,0,0,,0,0,27.7,13.4,13.4,6.1,2.6,207.4,1018.7,2,16,257.7,22.3,8,10,2023-04-20T06:31:50,2023-04-20T19:54:32,0,Clear,Clear conditions throughout the day.,clear-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-21,32.2,15.8,23.9,30.4,15.8,23.4,8.8,40.6,0,0,0,,0,0,42.3,15.1,15.1,9.4,5.1,200.1,1014.1,1.4,16,258,22.1,8,10,2023-04-21T06:30:30,2023-04-21T19:55:27,0.05,Clear,Clear conditions throughout the day.,clear-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-22,21.3,10,16.7,21.3,10,16.7,10.3,67.4,21.922,100,25,rain,0,0,47.9,10.7,10.7,6.4,1.1,194.3,1009.2,37.8,15.2,109.4,9.5,4,10,2023-04-22T06:29:10,2023-04-22T19:56:23,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-23,20.3,6.4,13.1,20.3,6.4,13,3.4,56.8,0,0,0,,0,0,31.3,9.5,9.5,5.8,2.6,276.7,1013.8,21.3,15.3,228.1,19.9,8,10,2023-04-23T06:27:52,2023-04-23T19:57:19,0.11,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-24,17,5.4,11.4,17,5.4,11.3,-0.9,45.1,0,0,0,,0,0,31.7,8.2,8.2,4.9,2.6,0.8,1018.6,63.3,16,278.7,24.2,9,10,2023-04-24T06:26:34,2023-04-24T19:58:15,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-25,16.6,3.2,11.1,16.6,1.9,11,-1,45.2,0,0,0,,0,0,22.3,7.2,7.2,4.3,2.8,26.6,1021.5,23.6,16,228.3,19.8,9,10,2023-04-25T06:25:17,2023-04-25T19:59:11,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-26,19.9,4.1,12.3,19.9,4.1,12.3,5.2,64.7,0.664,100,12.5,rain,0,0,27.7,9.9,9.9,5.3,2,221.4,1020.3,33.7,16,231.2,20,7,10,2023-04-26T06:24:01,2023-04-26T20:00:07,0.21,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-27,22.7,7.1,15.5,22.7,7.1,15.5,8.2,65.8,0,0,0,,0,0,25.9,6.6,6.6,4.4,2,177.6,1018.3,25.2,14.6,213.1,18.4,7,10,2023-04-27T06:22:46,2023-04-27T20:01:03,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-28,16.5,11.6,14.2,16.5,11.6,14.2,11.4,83.4,83.834,100,83.33,rain,0,0,43.6,12.7,12.7,9.5,2.8,34.5,1011.4,100,9.5,59.3,5.1,3,10,2023-04-28T06:21:32,2023-04-28T20:01:59,0.27,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-29,23.7,8.6,16.5,23.7,8.6,16.5,10.7,70.2,0,0,0,,0,0,27.7,7.6,7.6,3.8,1.8,179.7,1007.8,52.5,14.4,220.4,19.1,7,10,2023-04-29T06:20:19,2023-04-29T20:02:54,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-04-30,21.3,14.8,17.8,21.3,14.8,17.8,12.6,72.8,9.984,100,45.83,rain,0,0,42.5,10.2,10.2,5.7,2.7,352.3,995.5,89.2,14.2,105.5,9.1,5,10,2023-04-30T06:19:08,2023-04-30T20:03:50,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-05-01,16,9.8,12.6,16,7.9,12.3,1.2,46.4,0,0,0,,0,0,41.2,16.2,16.2,12.9,9.9,219.5,996.5,67.9,16,89.2,7.7,3,10,2023-05-01T06:17:57,2023-05-01T20:04:46,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-05-02,16.4,8.8,13.1,16.4,7.3,12.9,1.5,46.5,0,0,0,,0,0,40.7,18.4,18.4,10.2,2.4,237.9,998.1,72.5,16,94.3,8.3,3,10,2023-05-02T06:16:48,2023-05-02T20:05:41,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-05-03,15.3,7.6,11.3,15.3,5.4,10.8,1,50.4,0,0,0,,0,0,47.9,13.8,13.8,9.6,3.2,293.6,1002.1,68.5,16,147.6,12.7,6,10,2023-05-03T06:15:39,2023-05-03T20:06:37,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-05-04,18.7,6.8,13.1,18.7,6.8,13.1,3.5,54,0,0,0,,0,0,27.7,8,8,5.2,2.6,325.8,1012.7,50.9,16,185.2,16,7,10,2023-05-04T06:14:32,2023-05-04T20:07:32,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-05-05,21.5,5.4,14.3,21.5,5.4,14.3,4.4,56.1,0,0,0,,0,0,16.6,6.8,6.8,4.1,1.5,12.6,1021.5,28.2,16,260.4,22.4,8,10,2023-05-05T06:13:26,2023-05-05T20:08:27,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-05-06,24.8,11,17.8,24.8,11,17.8,7.6,53.5,0,0,0,,0,0,11.2,6.7,6.7,4.5,2.3,49,1023.6,40.8,16,276.3,23.7,8,10,2023-05-06T06:12:22,2023-05-06T20:09:22,0.53,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-05-07,26.5,11.6,18.2,26.5,11.6,18.2,13.2,74,4.139,100,16.67,rain,0,0,42.5,9.9,9.9,5,1.4,287.6,1016.4,41.6,14.8,159,13.9,7,10,2023-05-07T06:11:18,2023-05-07T20:10:17,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-05-08,30.9,16,23.5,29.7,16,23.3,13.7,58.1,0,0,0,,0,0,25.9,10.5,10.5,7.4,3.6,307.6,1010.2,16.6,15.2,270.9,23.6,9,10,2023-05-08T06:10:16,2023-05-08T20:11:12,0.61,Clear,Clear conditions throughout the day.,clear-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-05-09,23,13.1,17.4,23,13.1,17.4,13.7,79.5,2.545,100,41.67,rain,0,0,34.9,9.7,9.7,5.6,1.2,20.2,1013.4,68.4,15,118.7,10.3,5,10,2023-05-09T06:09:16,2023-05-09T20:12:06,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-05-10,23.7,8.7,16.2,23.7,8.7,16.2,8.4,63.7,0,0,0,,0,0,11.2,7.4,7.4,3.9,1.7,5.9,1020.9,5,14.5,279.8,24.2,8,10,2023-05-10T06:08:16,2023-05-10T20:13:00,0.68,Clear,Clear conditions throughout the day.,clear-day
